Unnamed: 0,ODT,RowID,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
43,7704052,25680,140843000000000.0,64772500000000.0,32791,8219,2671510000000.0,110000001100000011,39672,0,0,0,0,32723,32723,25,25,37248,615,622,36096,1498,15081,60928,37115,32792,39530,129809441727716775377536728396988416,57930,0,7700685,1446,391,1111111111
44,7704352,25681,140620000000000.0,71240700000000.0,32790,5880,2671510000000.0,110000001100000011,39678,0,0,0,0,32723,32723,25,25,37248,615,622,63232,1181,16587,63488,42277,32740,39577,129809441727716775377536728396988416,57930,0,7700685,1446,391,1111111111
45,7704652,25682,141053000000000.0,59519800000000.0,32791,5773,2662920000000.0,110000001100000011,39537,0,0,0,0,32723,32723,25,25,37376,614,620,15872,2185,13858,41472,30197,32841,39478,129809441727716775377536728396988416,57930,0,7700685,1446,391,1111111111
46,7704952,25683,141071000000000.0,74221400000000.0,32789,9165,2645740000000.0,110000001100000011,39333,0,0,0,0,32723,32723,25,25,37632,612,616,34304,1070,17281,54784,42711,32845,39282,129809441727716775377536728396988416,57930,0,7700685,1446,391,1111111111
47,7705252,25684,140572000000000.0,60073800000000.0,32788,6107,2628560000000.0,110000001100000011,39148,0,0,0,0,32723,32723,25,25,37888,610,612,25088,1410,13987,6144,30752,32729,39101,129809441727716775377536728396988416,57930,0,7700685,1446,392,1111111111
48,7705552,25685,140491000000000.0,65257800000000.0,32790,5749,2602790000000.0,110000001100000011,38906,0,0,0,0,32723,32723,25,25,38272,607,606,57856,1020,15194,11776,39974,32710,38857,129809441727716775377536728396988416,57930,0,7700685,1446,392,1111111111
49,7705852,25686,140577000000000.0,65816200000000.0,32792,5737,2577020000000.0,110000001100000011,38635,0,0,0,0,32723,32723,25,25,38656,604,600,45568,1848,15324,2560,41510,32730,38584,129809441727716775377536728396988416,57930,0,7700685,1446,392,1111111111
50,7706152,25687,140761000000000.0,64386000000000.0,32789,5534,2559840000000.0,110000001100000011,38344,0,0,0,0,32723,32723,25,25,38912,602,596,37888,2216,14991,14848,31079,32773,38307,129809441727716775377536728396988416,57930,0,7700685,1446,392,1111111111
51,7706452,25688,140675000000000.0,67091800000000.0,32792,5924,2534070000000.0,110000001100000011,38176,0,0,0,0,32723,32723,25,25,39296,599,590,1536,1768,15621,24064,29543,32753,38094,129809441727716775377536728396988416,57930,0,7700685,1446,392,1111111111
52,7706752,25689,140929000000000.0,71983700000000.0,32790,8887,2534070000000.0,110000001100000011,38169,0,0,0,0,32723,32723,25,25,39296,599,590,15616,734,16760,51712,38651,32812,38061,129809441727716775377536728396988416,57930,0,7706609,1447,392,1111111111
