nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
450989,1503,141229419144906,69655890365901,32789,6360,2611379176034,000000110000001100000000,38952,38859,0,0,0,0,32740,32740,20,11,610,596,608,3533,1690,16218,9930,35164,32882,57116889587968669784519761100537856,35569,0,0,0,0,1111111111
451289,1504,140920182023851,76991694900632,32789,9275,2602789110370,000000110000001100000000,38943,38834,0,0,0,0,32740,32740,20,11,610,594,606,3480,1696,17926,9899,35172,32810,57116889587968669784519761100537856,36466,0,0,0,0,1111111111
451589,1505,141126339405518,78078318611902,32791,8907,2611379176034,000000110000001100000000,39021,38899,0,0,0,0,32740,32740,20,11,610,596,608,3518,1650,18179,9934,35156,32858,57116889587968669784519761100537856,37360,0,0,0,0,1111111111
451889,1506,140567986906817,63445369228496,32791,8653,2619969241702,000000110000001100000000,39149,39031,0,0,0,0,32740,32740,20,11,614,598,610,3280,1714,14772,9921,35053,32728,57116889587968669784519761100537856,38257,0,0,0,0,1111111111
452189,1507,140778447120089,76089754717590,32793,8049,2637149373034,000000110000001100000000,39323,39203,0,0,0,0,32740,32740,20,11,618,602,614,3478,1741,17716,9945,35157,32777,57116889587968669784519761100537856,39151,0,0,0,0,1111111111
452489,1508,140537927378634,67443982863721,32792,8613,2654329504366,000000110000001100000000,39521,39396,0,0,0,0,32740,32740,20,11,622,606,618,3433,1700,15703,9930,35133,32721,57116889587968669784519761100537856,40048,0,0,0,0,1111111111
452789,1509,140993177462379,62874128813351,32789,9199,2671509766770,000000110000001100000000,39727,39596,0,0,0,0,32740,32740,20,11,626,612,622,3367,1565,14639,9835,34882,32827,57116889587968669784519761100537856,40942,0,0,0,0,1111111111
453089,1510,141238005671623,73959449038039,32792,8975,2688689898102,000000110000001100000000,39947,39792,0,0,0,0,32740,32740,20,11,630,616,626,3287,1712,17220,9927,35112,32884,57116889587968669784519761100537856,41839,0,0,0,0,1111111111
453389,1511,140812803253888,68010914679927,32789,9001,2714459964028,000000110000001100000000,40182,40018,0,0,0,0,32740,32740,20,11,636,620,632,3191,1641,15835,9856,35102,32785,57116889587968669784519761100537856,42736,0,0,0,0,1111111111
453689,1512,140632412989084,74698182561007,32791,8680,2731640095360,000000110000001100000000,40401,40210,0,0,0,0,32740,32740,20,11,640,624,636,3311,1699,17392,9884,35077,32743,57116889587968669784519761100537856,43630,0,0,0,0,1111111111
453989,1513,140632415938123,63668704578645,32790,8619,2748820226692,000000110000001100000000,40585,40380,0,0,0,0,32740,32740,20,11,644,628,640,3157,1669,14824,9803,35122,32743,57116889587968669784519761100537856,44527,0,0,0,0,1111111111
454289,1514,141117751568080,79328158682230,32791,7568,2757410292358,000000110000001100000000,40690,40517,0,0,0,0,32740,32740,20,11,646,630,642,3190,1720,18470,9936,35188,32856,57116889587968669784519761100537856,45421,0,0,0,0,1111111111
454589,1515,140963120948724,77962350758952,32791,5853,2757410423430,000000110000001100000000,40605,40520,0,0,0,0,32740,32740,20,11,646,632,642,3112,1593,18152,9716,35008,32820,57116889587968669784519761100537856,46318,0,0,0,0,1111111111
454889,1516,140877228746428,72275821857834,32792,7906,2748820226690,000000110000001100000000,40420,40360,0,0,0,0,32740,32740,20,11,642,628,640,3114,1712,16828,9916,35117,32800,57116889587968669784519761100537856,47212,0,0,0,0,1111111111
455189,1517,140525035529821,71373877415158,32791,6129,2723050029694,000000110000001100000000,40178,40142,0,0,0,0,32740,32740,20,11,638,622,634,3318,1692,16618,9821,35027,32718,57116889587968669784519761100537856,48109,0,0,0,0,1111111111
455489,1518,141053322471113,66705249471738,32792,6768,2697279963768,000000110000001100000000,39906,39878,0,0,0,0,32740,32740,20,11,632,618,628,3322,1715,15531,9929,35118,32841,57116889587968669784519761100537856,49003,0,0,0,0,1111111111
455789,1519,140988888655537,72181330939048,32791,9013,2671509635698,000000110000001100000000,39621,39596,0,0,0,0,32740,32740,20,11,626,610,622,3240,1687,16806,9905,34976,32826,57116889587968669784519761100537856,49900,0,0,0,0,1111111111
456089,1520,140653877995011,71245027085613,32792,5474,2645739438700,000000110000001100000000,39324,39306,0,0,0,0,32740,32740,20,11,620,604,616,3373,1672,16588,9731,34927,32748,57116889587968669784519761100537856,50794,0,0,0,0,1111111111
456389,1521,141053308577369,79925145505210,32789,7232,2619969241702,000000110000001100000000,39030,39014,0,0,0,0,32740,32740,20,11,614,598,610,3514,1512,18609,9817,34906,32841,57116889587968669784519761100537856,51691,0,0,0,0,1111111111
456689,1522,140958832862887,72335951269186,32793,7312,2602789241442,000000110000001100000000,38929,38846,0,0,0,0,32740,32740,20,11,610,596,606,3394,1710,16842,9895,35113,32819,57116889587968669784519761100537856,52585,0,0,0,0,1111111111
