nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
7359045,24530,140864338536129,61641476607294,32790,8379,2594199175778,000000110000001100000011,38795,38785,0,0,0,0,32723,32723,25,25,610,594,604,3390,1617,14352,9921,35036,32797,129809441727716775377536728396988416,57930,0,7358952,1239,341,1111111111
7359345,24531,140293113390781,63621454368238,32789,5715,2577018913374,000000110000001100000011,38642,38565,0,0,0,0,32723,32723,25,25,606,588,600,3566,1584,14813,9917,35120,32664,129809441727716775377536728396988416,57930,0,7358952,1239,341,1111111111
7359645,24532,141152102852147,67293644918176,32792,8694,2577018913372,000000110000001100000011,38652,38521,0,0,0,0,32723,32723,25,25,604,588,600,3488,1485,15668,9779,35059,32864,129809441727716775377536728396988416,57930,0,7358952,1239,341,1111111111
7359946,24533,141139212707543,77601568788029,32790,6589,2577019044446,000000110000001100000011,38638,38604,0,0,0,0,32723,32723,25,25,606,590,600,3645,1521,18068,9943,34979,32861,129809441727716775377536728396988416,57930,0,7358952,1239,341,1111111111
7360246,24534,141087665235606,71219245485472,32790,9177,2585609110112,000000110000001100000011,38656,38699,0,0,0,0,32723,32723,25,25,608,592,602,3488,1492,16582,9878,34859,32849,129809441727716775377536728396988416,57930,0,7358952,1239,341,1111111111
7360546,24535,141225124177473,68625081371981,32791,6013,2594199175778,000000110000001100000011,38881,38850,0,0,0,0,32723,32723,25,25,610,594,604,3405,1433,15978,9793,35164,32881,129809441727716775377536728396988416,57930,0,7360362,1240,341,1111111111
7360846,24536,140426258228944,63050218409386,32790,8951,2619969241702,000000110000001100000011,39162,39046,0,0,0,0,32723,32723,25,25,614,598,610,3498,1503,14680,9936,35133,32695,129809441727716775377536728396988416,57930,0,7360362,1240,341,1111111111
7361146,24537,141083383178855,71395346681147,32791,6004,2637149504108,000000110000001100000011,39412,39258,0,0,0,0,32723,32723,25,25,620,604,614,3387,1607,16623,9831,35056,32848,129809441727716775377536728396988416,57930,0,7360362,1240,341,1111111111
7361446,24538,140988901762774,68328727645438,32788,7183,2662919570032,000000110000001100000011,39568,39454,0,0,0,0,32723,32723,25,25,624,608,620,3326,1418,15909,9942,35176,32826,129809441727716775377536728396988416,57930,0,7360362,1240,341,1111111111
7361746,24539,141190759065299,70184153779561,32792,8846,2671509766772,000000110000001100000011,39739,39625,0,0,0,0,32723,32723,25,25,628,612,622,3433,1422,16341,9939,35082,32873,129809441727716775377536728396988416,57930,0,7361622,1241,341,1111111111
7362046,24540,141255189604034,66129715858611,32792,8170,2688689898104,000000110000001100000011,39999,39809,0,0,0,0,32723,32723,25,25,632,616,626,3251,1593,15397,9922,35174,32888,129809441727716775377536728396988416,57930,0,7361622,1241,341,1111111111
7362346,24541,140872933320406,72636590460101,32787,7931,2705869898364,000000110000001100000011,40120,40002,0,0,0,0,32723,32723,25,25,636,618,630,3269,1580,16912,9942,35110,32799,129809441727716775377536728396988416,57930,0,7361622,1241,341,1111111111
7362646,24542,140434852882104,78778394479749,32791,5360,2714460095102,000000110000001100000011,40128,40178,0,0,0,0,32723,32723,25,25,638,622,632,3205,1592,18342,9912,35205,32697,129809441727716775377536728396988416,57930,0,7361622,1241,341,1111111111
7362946,24543,140692550329951,68182710160544,32790,6442,2723050029696,000000110000001100000011,40143,40166,0,0,0,0,32723,32723,25,25,640,622,634,3232,1592,15875,9823,35196,32757,129809441727716775377536728396988416,57930,0,7362907,1242,341,1111111111
7363246,24544,140787035219662,73371031309558,32792,5456,2714459964030,000000110000001100000011,40069,40042,0,0,0,0,32723,32723,25,25,638,620,632,3318,1602,17083,9934,35129,32779,129809441727716775377536728396988416,57930,0,7362907,1242,341,1111111111
7363546,24545,141040432522890,68702389210357,32791,7184,2697279832696,000000110000001100000011,39865,39834,0,0,0,0,32723,32723,25,25,632,616,628,3317,1409,15996,9866,35041,32838,129809441727716775377536728396988416,57930,0,7362907,1242,341,1111111111
7363846,24546,140988880332398,74139829996800,32793,9116,2671509635700,000000110000001100000011,39624,39589,0,0,0,0,32723,32723,25,25,628,610,622,3328,1595,17262,9838,34849,32826,129809441727716775377536728396988416,57930,0,7362907,1242,341,1111111111
7364146,24547,140537925936804,73852065025206,32791,6135,2645739438702,000000110000001100000011,39362,39318,0,0,0,0,32723,32723,25,25,622,604,616,3254,1562,17195,9892,35111,32721,129809441727716775377536728396988416,57930,0,7362907,1242,341,1111111111
7364446,24548,141018965681755,68260017999190,32791,9069,2628559307368,000000110000001100000011,39101,39065,0,0,0,0,32723,32723,25,25,616,600,612,3414,1568,15893,9819,35163,32833,129809441727716775377536728396988416,57930,0,7364226,1243,341,1111111111
7364746,24549,141044723033811,75217866853717,32791,8482,2594199175778,000000110000001100000011,38799,38789,0,0,0,0,32723,32723,25,25,610,594,604,3413,1596,17513,9939,34973,32839,129809441727716775377536728396988416,57930,0,7364226,1243,341,1111111111
7365046,24550,141195052197458,72950118354485,32791,8342,2577018913372,000000110000001100000011,38548,38585,0,0,0,0,32723,32723,25,25,604,588,600,3637,1508,16985,9810,35054,32874,129809441727716775377536728396988416,57930,0,7364226,1243,341,1111111111
7365346,24551,140731198809806,66885626891775,32792,5507,2568428847706,000000110000001100000011,38455,38475,0,0,0,0,32723,32723,25,25,602,586,598,3583,1544,15573,9934,35101,32766,129809441727716775377536728396988416,57930,0,7364226,1243,341,1111111111
7365646,24552,141130636207641,65872017165736,32791,7769,2559838913114,000000110000001100000011,38518,38494,0,0,0,0,32723,32723,25,25,602,586,596,3496,1583,15337,9753,35184,32859,129809441727716775377536728396988416,57930,0,7365427,1244,341,1111111111
7365946,24553,140722603042474,60434590207386,32791,5943,2577018913372,000000110000001100000011,38597,38608,0,0,0,0,32723,32723,25,25,604,588,600,3482,1608,14071,9898,35012,32764,129809441727716775377536728396988416,57930,0,7365427,1244,341,1111111111
7366246,24554,140671068743373,63621455940936,32788,5534,2585609110112,000000110000001100000011,38719,38785,0,0,0,0,32723,32723,25,25,608,592,602,3400,1608,14813,9933,35093,32752,129809441727716775377536728396988416,57930,0,7365427,1244,341,1111111111
7366546,24555,140653892609594,63836203060476,32789,6941,2602789241444,000000110000001100000011,38895,38934,0,0,0,0,32723,32723,25,25,612,596,606,3324,1589,14863,9786,35150,32748,129809441727716775377536728396988416,57930,0,7365427,1244,341,1111111111
7366846,24556,141018961880774,76283009109361,32791,9066,2619969372776,000000110000001100000011,39168,39100,0,0,0,0,32723,32723,25,25,616,600,610,3441,1449,17761,9926,35105,32833,129809441727716775377536728396988416,57930,0,7366812,1245,341,1111111111
7367146,24557,140976005523021,69265043688755,32791,5706,2645739438702,000000110000001100000011,39447,39331,0,0,0,0,32723,32723,25,25,622,604,616,3379,1619,16127,9805,35003,32823,129809441727716775377536728396988416,57930,0,7366812,1245,341,1111111111
7367446,24558,140357539342016,71283673926892,32790,6762,2662919570034,000000110000001100000011,39607,39572,0,0,0,0,32723,32723,25,25,626,608,620,3308,1552,16597,9920,35142,32679,129809441727716775377536728396988416,57930,0,7366812,1245,341,1111111111
7367746,24559,140967418013390,60898436320585,32793,9061,2680099832438,000000110000001100000011,39732,39772,0,0,0,0,32723,32723,25,25,630,614,624,3401,1450,14179,9934,35040,32821,129809441727716775377536728396988416,57930,0,7366812,1245,341,1111111111
7368046,24560,141049027176105,75462667865345,32791,5897,2697279963770,000000110000001100000011,39848,39930,0,0,0,0,32723,32723,25,25,634,618,628,3329,1411,17570,9897,35113,32840,129809441727716775377536728396988416,57930,0,7368013,1246,341,1111111111
7368346,24561,140980304553517,72524911611098,32790,6079,2697279963770,000000110000001100000011,39930,40004,0,0,0,0,32723,32723,25,25,634,618,628,3290,1432,16886,9773,35065,32824,129809441727716775377536728396988416,57930,0,7368013,1246,341,1111111111
7368646,24562,140817082492616,65867718593831,32792,5461,2705869898364,000000110000001100000011,39974,39990,0,0,0,0,32723,32723,25,25,636,618,630,3367,1528,15336,9928,34862,32786,129809441727716775377536728396988416,57930,0,7368013,1246,341,1111111111
